review_id,is_about_discovery,primary_topic,discovery_subtheme,segment_signal,jtbd,verbatim_evidence,topic_sentiment,stratum,label_model
6,False,performance_bugs,none,unknown,,Bugs and fixes. Crossfade doesn’t work on mobile and pc. And i keep getting ad’s on pc despite only listening to songs on repeat,negative,relevant,8b
68,False,pricing,none,unknown,listen to music without paying,People shouldn’t have to pay to listen to music,negative,relevant,8b
88,True,repetition,stale_recs,unknown,,why even have a shuffle option if it doesnt work,negative,relevant,70b
144,False,catalog,none,unknown,,Great music. Spotify has really good sound quality and good songs,positive,relevant,8b
159,True,repetition,stale_recs,unknown,,a little bit repetitive,neutral,relevant,70b
204,True,discovery,discovery_works,power_user,expand music catalog,only way I was able to expand my music catalog,positive,relevant,70b
212,True,repetition,stale_recs,unknown,,play your ten same songs,negative,relevant,70b
230,True,ui_ux,none,unknown,more music discovery,better radio feature with random song generation for more discovery,neutral,relevant,70b
238,True,repetition,stale_recs,power_user,,I hear the same songs all the time,negative,relevant,70b
277,False,repetition,none,unknown,,It replays the same songs doesn’t shuffle,negative,relevant,70b
290,False,repetition,none,unknown,,it will play the same songs in the same order sometimes,negative,relevant,70b
312,False,repetition,none,unknown,,you get the same songs in the same order,negative,relevant,70b
321,True,discovery,stale_recs,unknown,,"presents playlists based on when you last played them, channeling you into playing the same things over and over again",negative,relevant,70b
345,False,repetition,none,unknown,hear varied songs,don’t here the same songs on your playlist,negative,relevant,8b
359,True,discovery,niche_genre_gap,unknown,,a true weekly offering of every new ALBUM not just singles of new music across genres,negative,relevant,70b
367,True,discovery,discovery_works,unknown,,makes discovering new music feel effortless,positive,relevant,70b
431,False,ui_ux,none,premium_user,,they removed the heart for whatever reason,negative,relevant,70b
434,False,ui_ux,none,unknown,easily add songs to playlists,can’t quickly add songs to a playlist,negative,relevant,8b
436,False,ads,none,unknown,listen to music ad-free,"watch the many ads, which also show up every 5 songs",negative,relevant,8b
440,False,social,none,unknown,listen to music with friends,love this feature but recently it's been a little buggy,neutral,relevant,8b
441,False,performance_bugs,none,unknown,use app without crashes,this app has been crashing on everyone,negative,relevant,8b
442,False,performance_bugs,none,unknown,listen to music without interruptions,the songs will randomly stop playing,negative,relevant,8b
443,False,ads,none,unknown,listen to music ad-free,two minutes worth of ads after only two songs,negative,relevant,8b
445,False,ads,none,unknown,listen to music with minimal ads,Calm down with the long commercials,negative,relevant,8b
449,False,performance_bugs,none,power_user,listen to music without app crashing,"app kept crashing, and then I would use up all six of my skips",negative,relevant,8b
450,False,pricing,none,free_user,listen to music without restrictions,,negative,relevant,8b
451,False,ui_ux,none,power_user,use app without frustrating features,"smart shuffle are numerous, but I’ll just name the main ones",negative,relevant,8b
453,False,performance_bugs,none,power_user,listen to music without bugs,shuffle it has increasingly gotten worse over the years,negative,relevant,8b
454,False,ui_ux,none,power_user,use app with more customization,more customization with the quick swiping right or left on a song,positive,relevant,8b
455,False,pricing,none,free_user,listen to music without paying,I wish you could select songs (not have to listen on shuffle every time) and listen offline without paying,negative,relevant,8b
456,False,ui_ux,none,free_user,listen to music without restrictions,"why do you add songs to the albums? not my playlists, actual albums",negative,relevant,8b
457,False,pricing,none,free_user,listen to music without restrictions,"If I search for a song and press on it, I won’t be able to listen to that song, only other songs similar to it",negative,relevant,8b
459,False,ui_ux,none,power_user,use app with more features,a delete button on the playlists tab,neutral,relevant,8b
465,True,discovery,stale_recs,unknown,,now this new “enhance” has me listening to songs I already listensed too,negative,relevant,70b
466,False,performance_bugs,none,power_user,listen to music without app exiting,the app will randomly exit out and stop playing music,negative,relevant,8b
471,False,ads,none,free_user,listen to music without annoying ads,I’ve been listening to the same ads on repeat for weeks,negative,relevant,8b
939,False,other,none,unknown,,Perfect algorithms really top quality ‼️❤️,positive,relevant,8b
957,False,performance_bugs,none,free_user,listen to music on repeat,just let me repeat a song for free,negative,relevant,8b
959,True,discovery,discovery_works,unknown,find new songs,easy ways to find new songs,positive,relevant,70b
979,False,performance_bugs,none,unknown,,Bugs or issues,negative,relevant,70b
1049,True,discovery,discovery_works,unknown,discover new artists,introduces new artists,positive,relevant,70b
1093,True,discovery,stale_recs,unknown,discover new artists,poor discoverability of new artists,negative,relevant,70b
1115,False,catalog,none,unknown,access international music,Best collection of international music library,positive,relevant,8b
1159,False,recommendation_quality,none,unknown,,My algorithms are perfect for every mood,positive,relevant,8b
1167,True,discovery,stale_recs,unknown,discover new content,Trop de redondance,negative,relevant,70b
1184,False,other,none,unknown,,I love Spotify !,positive,relevant,70b
1188,False,other,none,unknown,support musicians,musicians received more financial return,neutral,relevant,8b
1209,True,discovery,discovery_works,unknown,find new songs,Always sharing with me great new songs,positive,relevant,70b
477,False,performance_bugs,none,premium_user,listen to music without ads,I created this playlist so I can only listen to the songs ON THE PLAYLIST. IF I WANTED GO DISCOVER NEW SONGS THEN I WOULDNT BE LISTENING TO SONGS ON MY PLAYLIST.,negative,relevant,8b
478,False,repetition,none,free_user,listen to music without ads,In exchange I listen to 3 or so commercials per song. And let me tell you they are the same commercials.,negative,relevant,8b
479,False,performance_bugs,none,premium_user,listen to specific songs,"it comes up as an album for each song i want that i search for.  i cant just listen to that song, and its not like i can repeat the song like i used to be able 2.",negative,relevant,8b
480,True,discovery,discovery_works,power_user,discover new music,Great way to discover new music,positive,relevant,70b
481,False,performance_bugs,none,premium_user,listen to music without smart shuffle issues,Trying to put my playlist on shuffle is super annoying because smart shuffle comes right beforehand.,negative,relevant,8b
482,False,ads,none,free_user,listen to music without ads,first off im a mobile user and u guys really need to chill on the adds like 2 min adds r u seriously being fr,negative,relevant,8b
484,False,pricing,none,premium_user,get premium subscription,"I’ve been a loyal customer for over 10 years, and this month they hit a new low by triple-billing me.",negative,relevant,8b
488,False,performance_bugs,none,premium_user,fix listening history feature,"Sometimes when I’m listening to one of those mixes, something will play that I love, and I’ll listen to that one track for the rest of the day.",neutral,relevant,8b
489,False,performance_bugs,none,premium_user,listen to specific songs,songs that I’ve played a lot ie the songs I really like just don’t play.,negative,relevant,8b
490,False,performance_bugs,none,premium_user,listen to music without app issues,,negative,relevant,8b
492,True,discovery,discovery_works,power_user,discover new music,useful for discovering new music,positive,relevant,70b
493,True,discovery,stale_recs,free_user,get relevant music suggestions,,negative,relevant,70b
502,False,performance_bugs,none,premium_user,listen to music without bugs,"It often happens when your phone screen is locked, and sometimes when you open your phone and go to the app it has completely crashed, other times it has just paused it for some reason.",negative,relevant,8b
503,False,repetition,none,premium_user,listen to new music,The mixes only give you repeat music and so does the DJ… I hate that — if I wanted to listen to all my favorites songs that’s what I would do!,negative,relevant,8b
504,False,pricing,none,free_user,listen to music without restrictions,I really do like this app and it’s cool music but I have one problem with it. People that don’t have a premium membership (have a free plan) are only able to play songs by shuffle playing.,negative,relevant,8b
505,False,ui_ux,none,premium_user,use app without frustration,,negative,relevant,8b
